,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,OvernightVisits,Spending,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
1989.25,0.01933,72.4,7.2,0.015394328,-99999999,7,-99999999,0.053795832,0.06069784,0.043853284,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.107053996,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.5,0.00374,72.6,7.1,0.014867277,-99999999,6.6,-99999999,-0.035113619,0.032723845,0.024641794,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.025063969,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.75,-0.00899,72.8,7,-0.008433168,-99999999,6.3,-99999999,-0.043225154,-0.017874724,-0.007011184,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.040409538,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990,-0.01369,72.8,6.9,-0.009467027,-99999999,6.3,-99999999,-0.015420359,-0.021189299,-0.005532489,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.010133305,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.25,-0.00443,72.8,6.9,-0.003922405,-99999999,6.2,-99999999,0.02044116,0.027229653,0.014855805,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.035531428,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.5,-0.01298,72.7,7.1,0.007809702,-99999999,6.5,-99999999,0.124938737,0.029002394,0.015849168,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.117310111,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.75,-0.01802,72.3,7.5,-0.006498293,-99999999,7.1,-99999999,-0.119975317,-0.030203763,-0.01278535,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.045484376,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991,-0.00295,71.7,8,-0.006154073,-99999999,8,-99999999,-0.173630661,-0.052357224,-0.034126522,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.060191547,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.25,0.00688,71,8.7,-0.001774444,-99999999,8.6,-99999999,-0.007424018,-0.006839425,-0.016835227,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.013764114,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.5,-0.00406,70.3,9.2,0.008364775,-99999999,9,-99999999,0.04275198,0.038247889,0.02984877,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.058992788,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.75,-0.01015,69.8,9.5,-0.003942186,-99999999,9.2,-99999999,0.051152522,0.029289376,0.02111298,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.049985908,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992,-0.01189,69.4,9.7,-0.007097923,-99999999,9.3,-99999999,0.06694679,0.037296554,0.025205046,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.015414563,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.25,0.00395,69.1,9.8,-0.010410893,-99999999,9.4,-99999999,0.020203386,-0.005449187,-0.013161446,9.1,64.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.064150247,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.5,-0.00348,68.9,9.9,0.001279219,-99999999,9.7,-99999999,0.019305155,-0.01677021,-0.004477302,9.9,63.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.026397472,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.75,-0.0176,68.5,10.4,-0.016931164,-99999999,10.1,-99999999,-0.034368902,-0.02825676,-0.009095505,10.3,63.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008196767,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993,-0.00034,68.4,10.6,0.002207908,-99999999,9.9,-99999999,-0.066096066,-0.051608954,-0.045162159,10.3,63.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.012170536,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.25,0.01524,68.4,10.4,0.00350947,-99999999,9.8,-99999999,0,-0.016759423,-0.016455797,10.2,63.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.002014099,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.5,-0.00144,68.5,10.2,0.009079658,-99999999,9.7,-99999999,-0.043778925,-0.032513404,-0.010723865,9.8,63.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.010010094,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.75,-0.00588,68.5,10.3,-0.008206704,-99999999,9.6,-99999999,0.072550667,0.087289663,0.061483894,10,64.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.008000043,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994,0.00235,68.7,9.9,0.004770132,-99999999,9.3,-99999999,-0.017033339,0.013592117,0.014670897,9.6,64.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.037856183,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.25,0.0003,68.8,9.7,0.005996271,-99999999,9,-99999999,0.059437188,0.017874724,0.000758593,9.7,64.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.078196133,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.5,0.00311,69,9.4,0.007171611,-99999999,8.6,-99999999,0.014891555,0.067946317,0.054090075,9.7,64.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.032260862,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.75,0.0032,69.1,9,-0.002938688,-99999999,8.2,-99999999,-0.030311914,0.01952214,0.0164152,9.7,64.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.112544679,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995,-0.00867,69.2,8.9,-0.003807769,-99999999,8.2,-99999999,-0.010593073,-0.01160767,-0.005838251,9.3,64.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.029852963,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.25,0.00464,69.4,8.7,0.004649426,-99999999,8.1,-99999999,0.020933907,0.034837511,0.018537825,8.8,65,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.041198351,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.5,-0.00252,69.6,8.6,0.003767397,-99999999,8,-99999999,-0.054357662,-0.016599262,-0.001253376,8.4,65.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-8.59E-03,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.75,-0.00343,69.9,8.3,-0.005874604,-99999999,8,-99999999,-0.023802915,-0.056115942,-0.037332369,7.9,65.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.028685493,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996,0.00371,69.9,8.2,0.006291194,-99999999,8.1,-99999999,0.046368743,-0.008642962,0.004084304,8.5,65.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.008911419,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996.25,0.01385,69.9,8.3,0.00041619,-99999999,8,-99999999,-0.112297256,-0.02701147,-0.033803336,8.3,65.9,-99999999,0.005368356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.040846472,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996.5,0.00792,70,8.1,0.01672924,-99999999,7.8,-99999999,0.144089091,0.063616294,0.052371424,8.5,66,-99999999,0.001774806,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-3.69E-03,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996.75,0.00924,70.3,7.8,0.007539335,-99999999,7.2,-99999999,0.015063746,-0.016351841,-0.004568128,8.4,66.2,-99999999,-0.003199892,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,1.69E-02,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997,0.00502,70.8,7.3,0.005861013,-99999999,6.5,-99999999,-0.099384632,-0.034675325,-0.0256734,7.9,66.6,-99999999,0.000713127,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,1.51E-02,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.25,0.01972,71,7.2,0.008836017,-99999999,6,-99999999,0.094421213,0.05897786,0.032184683,8.3,66.9,-99999999,0.001777712,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.038278512,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.5,0.01714,71.1,6.8,0.021515142,-99999999,5.8,-99999999,0.024268575,0.026734253,0.027543749,7.4,65.7,-99999999,0.002476635,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000243978,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.75,0.00762,71.2,6.5,-0.003269485,-99999999,5.5,-99999999,0.013935778,0.039790276,0.041613195,6.9,65.8,-99999999,-0.002476635,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.000100983,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998,0.00747,71.3,6.4,0.010803903,-99999999,5.4,-99999999,-0.028333599,-0.050097641,-0.041007062,7.2,65.7,-99999999,-0.00213413,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.007218326,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.25,0.01572,71.3,6.3,0.022525305,-99999999,5.4,-99999999,0.059210165,-0.006688936,-0.017930717,7,65.5,-99999999,-0.001428602,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.026861489,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.5,0.00756,71.6,6.2,0.018511547,-99999999,5.3,-99999999,-0.089522079,-0.009737952,-0.001897867,7.5,65.8,-99999999,0.001071891,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.007875434,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.75,-0.00035,71.8,6.1,-0.001946058,-99999999,5.3,-99999999,0.030311914,0.092754053,0.078123281,7.1,66.5,-99999999,-0.0007143,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.001643848,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999,0.00756,71.9,6.2,0.002592811,-99999999,5.2,-99999999,-0.004907334,-0.043465694,-0.057084962,7.2,66.6,-99999999,0.002139386,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.007038443,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.25,0.016,71.9,6,0.018038867,-99999999,5,-99999999,0.046743404,-0.001761846,0,7.5,66.3,-99999999,0.003895044,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.033095177,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.5,0.01435,72.1,5.9,0.024703016,-99999999,4.8,-99999999,-0.06180715,-0.010723865,0.00420773,7.2,66.6,-99999999,0.009759837,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.036393866,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1999.75,0.01345,72.3,5.8,0.010988063,-99999999,4.6,-99999999,-0.015605073,0.006287724,-0.003604124,7.3,66.9,-99999999,-0.001726819,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005708243,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000,0.01745,72.3,5.8,0.010995384,-99999999,4.5,-99999999,0.099023372,-0.049039704,-0.043751508,6.7,66.9,-99999999,-0.001386416,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011657967,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.25,0.01916,72.5,5.5,0.023041304,-99999999,4.4,-99999999,0.024589273,0.043655819,0.044956209,6.1,67.5,-99999999,0.003457777,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.020510931,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.5,-0.00143,72.6,5.3,0.008108112,-99999999,4.3,-99999999,0.038120463,-0.007283936,-0.004231156,6.7,67.3,-99999999,-0.000689356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.036919276,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2000.75,0.0037,72.5,5.2,0.012766777,-99999999,4.2,-99999999,-0.026328939,-0.029438871,-0.021797129,5.8,67.4,-99999999,-0.000345089,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.00039471,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001,0.01232,72.6,5.1,-0.002270496,-99999999,4.1,-99999999,-0.028028724,-0.012964977,-0.015605073,6.1,67.1,-99999999,0.005829544,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011749412,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.25,0.01853,72.7,5,0.015405653,-99999999,3.9,-99999999,0.028028724,0,-0.030152417,6.1,66.3,-99999999,-0.002390931,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.046656097,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.5,0.01658,72.5,5.1,0.015349387,-99999999,3.8,-99999999,0.026328939,0.005032437,0.050837016,5.5,66.3,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.030909063,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2001.75,0.00702,72.6,5.2,-0.008807589,-99999999,3.7,-99999999,-0.011088972,-0.005032437,0.019140452,5.8,66.5,-99999999,0.005107403,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.013305458,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002,0.01305,72.5,5.2,0.02890144,-99999999,3.5,-99999999,-0.003760149,0.003026455,-0.019140452,5.7,66.4,-99999999,0.002363054,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.015053485,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.25,0.0356,72.7,5.2,0.034277673,-99999999,3.5,-99999999,0.02208753,0.040294595,0.032815467,5.6,67.2,-99999999,0.006349936,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.107416997,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.5,0.02971,72.6,5.3,0.023399454,-99999999,3.5,-99999999,0.041066271,0.036028887,0.022802848,5.2,67.9,-99999999,0.00132508,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.034142416,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2002.75,0.01958,72.9,5.1,0.021853652,-99999999,3.4,-99999999,0.046410074,0.040241219,0.035700937,5.1,69.3,-99999999,-0.00398743,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.047347316,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003,0.01472,72.7,5.2,0.001395325,-99999999,3.3,-99999999,0.060187206,0.011379546,-0.005663672,4.9,69.8,-99999999,0.006954159,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.051280937,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.25,0.01928,72.9,4.9,0.008279097,-99999999,3.3,-99999999,0.019971081,0.014723257,0.030032318,4.5,70.8,-99999999,0.000984423,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.075900857,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.5,0.01491,72.8,5,0.013788285,-99999999,3.2,-99999999,0.054931367,0.060067972,0.051474819,4.7,70.7,-99999999,0.0052129,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.072336604,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2003.75,0.01365,72.8,4.9,0.011111225,-99999999,3.1,-99999999,0.025062404,0.043735749,0.033471483,4.8,70.1,-99999999,-0.00162232,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.060983695,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004,0.02004,73,4.8,-0.000645791,-99999999,3,-99999999,0.058752311,0.02438007,0.005532489,4.6,70.8,-99999999,-0.000325192,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.032944799,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.25,0.02479,72.9,4.8,0.032069262,-99999999,2.9,-99999999,-0.021810163,0.017426919,0.018826857,4.2,70.6,-99999999,-0.000977041,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.118452949,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.5,0.01444,72.9,4.7,0.013300292,-99999999,2.9,-99999999,0.009221036,-0.009948108,-0.003776498,4.9,69.3,-99999999,0.01126429,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.048913863,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2004.75,-0.00289,73,4.7,-0.000582555,-99999999,2.9,-99999999,-0.0205511,-0.017287635,-0.009587464,4.2,70.4,-99999999,-0.000635863,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.021644765,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005,0.00093,73.1,4.7,0.002839061,-99999999,2.7,-99999999,-0.021572106,0.002198964,0.011857301,4.5,69.9,-99999999,0.003801289,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008541678,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005.25,0.01317,72.9,4.8,0.014203269,-99999999,2.9,-99999999,0.049361615,0.015617976,-0.001133436,4.5,69.2,-99999999,0.00282929,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.035332279,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005.5,0.00037,73,4.7,0.0066422,-99999999,2.9,-99999999,0.014124643,-0.004252612,-0.002656244,4.6,70.2,-99999999,0.004674905,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.029603273,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2005.75,-0.00066,72.7,5.1,0.002789834,-99999999,3.1,-99999999,-0.007004902,0.001067063,-0.00267259,4.9,69.9,-99999999,-0.000930964,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.012521031,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2006,0.00802,72.9,5.2,0.003567892,-99999999,3.1,-99999999,0.00526424,-0.00267259,0.00381297,4.7,69.7,-99999999,-0.002180041,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.029692001,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2006.25,0.01259,72.8,5.5,0.01753029,-99999999,3.1,-99999999,0.018774001,-0.002689139,0.005282535,5.8,69.3,-99999999,0.005275525,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.036437105,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2006.5,0.00892,72.8,5.5,0.011602903,-99999999,3,-99999999,0.022777215,0.019000115,0.020152241,5.3,70.5,-99999999,-0.000308557,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011776106,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2006.75,0.00919,72.7,5.5,0.010141098,-99999999,2.9,-99999999,-0.003181659,0.027512014,0.006749907,5.3,70.2,-99999999,-0.001236426,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.016565997,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2007,0.00872,72.5,5.5,0.004441011,-99999999,2.8,-99999999,0,0.020357583,0.022998443,5.5,69.9,-99999999,0.000309437,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.00752248,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2007.25,0.01521,72.7,5.4,0.018354984,-99999999,2.8,-99999999,0.017217531,0.002306402,0,5.7,70.1,-99999999,0.003082302,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.041195999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2007.5,0.00551,72.7,5.3,0.00850152,-99999999,2.8,-99999999,-0.004628404,0.003664954,0.010895074,5.1,69.6,-99999999,-0.007747164,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,1.19E-02,-99999999,-99999999,-99999999,-1.00E+08,-99999999,-99999999,-99999999,-99999999
2007.75,-0.00041,72.9,5.2,-0.001920343,-99999999,2.7,-99999999,-0.042324315,-0.013435247,-0.019334797,5,69.6,-99999999,-0.004083812,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-1.22E-02,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2008,-0.01099,73,5.2,-0.014823677,-99999999,2.6,-99999999,-0.01744389,0.018875333,0.024842522,5.2,69.7,-99999999,0.003144796,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.040574493,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2008.25,-0.0119,72.9,5.4,-0.002415421,-99999999,2.9,-99999999,-0.054951366,-0.044058879,-0.024501765,5.2,70.3,0,0.008071466,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.002636515,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2008.5,-0.02385,72.4,5.9,-0.024999195,-99999999,3.4,-99999999,-0.055976656,-0.020417131,-0.035102863,6.5,68.7,0,-0.001849376,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.067429994,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2008.75,-0.02256,72.2,6.4,-0.027965513,-99999999,4.2,-99999999,-0.083337206,-0.076368246,-0.029014637,7,68.8,0.001334239,-0.001547185,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.024594821,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2009,-0.02017,71.7,7.1,-0.017907778,-99999999,5.1,-99999999,0.024359346,-0.018456316,-0.023524966,7.6,68.7,0.001330153,-0.0027989,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.04989959,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
2009.25,0.01246,70.8,7.8,0.014132308,-99999999,5.4,-99999999,-0.002640096,0.019700713,0.005796199,7.7,67.9,-0.001330153,0.000623538,-99999999,-99999999,-99999999,-0.04057194,-99999999,-99999999,0.022834465,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.000491138,-99999999
2009.5,0.01684,70.6,7.8,0.015382116,-99999999,5.5,-99999999,-0.02451215,0.003095483,0.00327771,8.7,67.5,0,-0.002499543,-99999999,-99999999,-99999999,0.280733784,-99999999,-99999999,0.025744248,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,1.04E-03,-99999999
2009.75,0.00528,70.6,7.8,0.007211167,-99999999,5.4,-99999999,-0.047316898,-0.013151955,-0.011162872,8.5,67.1,0.002656244,-0.00282929,-99999999,-99999999,-99999999,-0.41167776,-99999999,-99999999,0.028575656,-99999999,-99999999,-99999999,-99999999,-99999999,-1.00E+08,-2.02E-03,-99999999
2010,0.00206,70.2,8,-0.000526538,-99999999,5.3,-99999999,0.139647075,0.039787087,-0.022109986,9.4,66.7,-0.003990483,0.005640267,-99999999,-99999999,-99999999,-0.019925366,-99999999,-99999999,-0.017456672,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.002330004,-99999999
2010.25,0.01528,70.4,7.9,0.009747641,-99999999,5,-99999999,0.060083911,0.038830254,0.036338195,8.9,66.9,-0.001338351,-0.007536753,-99999999,-99999999,-99999999,0.108963575,-99999999,-99999999,0.009140386,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.002378352,-99999999
2010.5,-0.00353,70.7,7.8,0.003234618,-99999999,4.9,-99999999,0.026451239,0.01815798,0.026320447,8,67.5,-0.005395032,0.001265243,-99999999,-99999999,-99999999,0.333289133,-99999999,-99999999,0.009734216,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,3.20E-03,-99999999
2010.75,-0.01152,70.4,7.9,-0.01085383,-99999999,4.9,-99999999,0.014786484,-0.020647852,-0.015386181,8.3,67.7,0,-0.008290748,-99999999,-99999999,-99999999,-0.226169582,-99999999,-99999999,-0.032079259,-99999999,-1.00E+08,-99999999,-99999999,-99999999,-99999999,0.002061382,-99999999
2011,-0.00158,70.5,7.8,-0.007934481,-99999999,4.9,-99999999,-0.035404646,-0.029951939,-0.005263505,7.9,68.5,-0.004090716,0.006074148,-99999999,-99999999,-99999999,-0.161704889,-99999999,-99999999,-0.030147164,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.006426486,-99999999
2011.25,0.01157,70.5,7.9,0.005482454,-99999999,5.1,-99999999,0.041888275,0.017566831,0.008460307,8.4,68.4,-0.005514925,0.002847843,-99999999,-99999999,-99999999,0.222230928,-99999999,-99999999,0.02475843,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.000804823,-99999999
2011.5,-0.00044,70.1,8.3,0.004611272,-99999999,5.4,-99999999,-0.009568907,-0.016488392,0.007981736,9.7,67.5,-0.005585858,0.001574103,-99999999,-99999999,-99999999,0.109898381,-99999999,-99999999,2.12E-02,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.003468066,-99999999
