Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1996.5,0.00792,70,8.1,0.01672924,-99999999,7.4,-99999999,-0.040872883,0.050506731,0.031756596,8.3,68.9,-99999999,-0.004,-99999999,-99999999,-99999999,-99999999,9.08E-05,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996.75,0.00924,70.3,7.8,0.007539335,-99999999,7,-99999999,0.051152522,-0.038415701,-0.015948958,8.6,68.6,-99999999,0.002,-99999999,-99999999,-99999999,-99999999,2.65E-03,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997,0.00502,70.8,7.3,0.005861013,-99999999,6.3,-99999999,-0.08998131,0.006231018,0.016296811,7.9,69,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,1.40E-03,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.25,0.01972,71,7.2,0.008836017,-99999999,5.9,-99999999,0.058382324,0.009787332,-0.014136138,7.5,69.3,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.033949557,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.5,0.01714,71.1,6.8,0.021515142,-99999999,5.8,-99999999,-0.031135409,0.024689148,0.027489562,7.3,69.5,-99999999,0.004,-99999999,-99999999,-99999999,-99999999,0.006841168,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1997.75,0.00762,71.2,6.5,-0.003269485,-99999999,5.5,-99999999,0.052454756,-0.02590057,-0.006112142,7.1,69.4,-99999999,-0.004,-99999999,-99999999,-99999999,-99999999,-0.02084065,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998,0.00747,71.3,6.4,0.010803903,-99999999,5.4,-99999999,-0.03802504,-0.011680244,-0.014959158,7.1,69.7,-99999999,0.001,-99999999,-99999999,-99999999,-99999999,0.008275362,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.25,0.01572,71.3,6.3,0.022525305,-99999999,5.3,-99999999,0.060821237,0.053293439,0.021745148,7.3,69.7,-99999999,-0.002,-99999999,-99999999,-99999999,-99999999,0.024618107,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.5,0.00756,71.6,6.2,0.018511547,-99999999,5.3,-99999999,0.012165907,0.038476934,0.038629402,7.1,70,-99999999,-0.001,-99999999,-99999999,-99999999,-99999999,0.005759453,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1998.75,-0.00035,71.8,6.1,-0.001946058,-99999999,5.2,-99999999,-0.059021488,-0.050207788,-0.027659268,7,70.4,-99999999,-0.002,-99999999,-99999999,-99999999,-99999999,-0.002569645,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
