,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1985.75,0.009117,67.5,11.3,0.014723,-99999999,15.7,-99999999,-0.044812,0.02934,0.026065,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986,0.002573,67.6,11.3,0.0086,-99999999,15.9,-99999999,-0.106455,-0.01782,-0.018667,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.25,0.016354,67.6,11.3,0.019429,-99999999,15.6,-99999999,0.045757,0.095544,0.062734,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.5,0.014266,67.8,11.4,0.018596,-99999999,15.6,-99999999,0.010724,-0.052295,-0.022143,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.75,0.01498,67.9,11.3,0.012812,-99999999,15.3,-99999999,0,0.008156,0.007945,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987,0.013906,68.1,11.1,0.012445,-99999999,14.9,-99999999,0,0.036777,0.035266,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.25,0.021806,68.5,10.7,0.019198,-99999999,14.6,-99999999,0.030669,0.018174,0.004812,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.5,0.014376,69.1,10.2,0.02063,-99999999,14.1,-99999999,0.119975,0.037492,0.041066,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.75,-0.00077,69.7,9.7,0.024987,-99999999,13.4,-99999999,-0.007553,-0.035716,-0.025785,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988,0.007149,70.2,9.2,0.01785,-99999999,12.9,-99999999,-0.015512,-0.042813,-0.015281,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.25,0.035504,70.7,8.7,0.025471,-99999999,12.4,-99999999,0.085712,0.035664,-0.008457,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.5,0.04562,71.1,8.4,0.054196,-99999999,11.9,-99999999,-0.026734,0.031283,0.057076,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.75,0.022525,71.5,8,0.025901,-99999999,11.4,-99999999,0.081473,0.018064,0.013688,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989,0.017028,72.1,7.6,0.009048,-99999999,11.1,-99999999,0,-0.023124,-0.008372,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.25,0.019328,72.4,7.2,0.015394,-99999999,10.3,-99999999,0.063669,0.073203,0.046074,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.5,0.003737,72.6,7.1,0.014867,-99999999,9.7,-99999999,-0.009984,-0.002876,0.007537,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.75,-0.008991,72.8,7,-0.008433,-99999999,9.2,-99999999,-0.01542,0.004307,0.005568,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
